epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1051.88,0,89.5167,0,0.00113,0.02513,0.00068,0.00017,4.32301,4.23197,3.31578,0.000552509,0.000552509,0.000552509
2,1927.28,0,39.4573,0,0.00142,0.03301,0.00086,0.0002,4.55764,4.36238,3.19669,0.000888757,0.000888757,0.000888757
3,2721.3,0,13.0321,0,0.00142,0.03301,0.00086,0.0002,3.65905,5.22014,3.0798,0.00100496,0.00100496,0.00100496
4,3516.92,0,4.10346,0,0.00142,0.03301,0.00086,0.0002,3.56799,5.73082,3.07428,0.000676802,0.000676802,0.000676802
5,4283.75,0,1.73773,0,0.00142,0.03301,0.00086,0.0002,3.59376,5.98488,3.12225,0.000346736,0.000346736,0.000346736
