 ,Area,Mean,Min,Max
1,179,255,255,255
2,7,255,255,255
3,2,255,255,255
4,1,255,255,255
5,7,255,255,255
6,15,255,255,255
7,47,255,255,255
8,6,255,255,255
9,32,255,255,255
10,43,255,255,255
11,14,255,255,255
12,14,255,255,255
13,3,255,255,255
14,59,255,255,255
15,3,255,255,255
16,2,255,255,255
17,25,255,255,255
18,109,255,255,255
19,2,255,255,255
20,12,255,255,255
21,2,255,255,255
22,2,255,255,255
23,4,255,255,255
24,184,255,255,255
25,44,255,255,255
26,21,255,255,255
27,101,255,255,255
28,20,255,255,255
29,226,255,255,255
30,228,255,255,255
31,36,255,255,255
32,22,255,255,255
33,58,255,255,255
34,85,255,255,255
35,44,255,255,255
36,160,255,255,255
37,51,255,255,255
38,26,255,255,255
39,359,255,255,255
40,1,255,255,255
